relevant,entities,id,A,B,C,text,clean
-1,,842152210679050240,1,0,0,MS17-015: #Security #Update for #Microsoft Exchange Server (4013242) https://t.co/Q28I7kaYA7 #Nessus,ms17-015 security update for microsoft exchange server 4013242 nessus
1,O PRO O O O O VUL VUL VUL VUL VUL VUL O,840098433532751872,1,0,0,threatmeter: Ubuntu network-manager-applet Permission Checking Flaw Lets Local Users Bypass Login Screen Security … https://t.co/EbJDR3hpiH,threatmeter ubuntu network-manager-applet permission checking flaw lets local users bypass login screen security
1,O ORG PRO O O PRO VER VUL VUL ID,841989489295794176,0,0,1,threatmeter: Microsoft Windows up to Server 2016 privilege escalation [CVE-2017-0102] https://t.co/SttqFISgj5,threatmeter microsoft windows up to server 2016 privilege escalation cve-2017-0102
1,O O O O ID O O PRO PRO O,841196400184565760,1,1,0,News: GovCERT.HK - Security Alert (A17-03-01): Vulnerability in Apache Struts (8-Mar-2017) https://t.co/yIknSLrkDT,news govcert.hk security alert a17-03-01 vulnerability in apache struts 8-mar-2017
-1,,839898610829443072,1,0,1,#WordPress Mac Photo Gallery 3.0 Arbitrary File Download https://t.co/tx23FHStm4 #PacketStorm,wordpress mac photo gallery 3.0 arbitrary file download packetstorm
-1,,840540359025426432,1,1,0,threatmeter: #0daytoday #Kinsey Infor / Lawson / ESBUS - SQL Injection Vulnerability [webapps #exploits #Vulnerabi… https://t.co/dCCKBjoBWY,threatmeter 0daytoday kinsey infor lawson esbus sql injection vulnerability webapps exploits vulnerabi
-1,,836255886674886657,1,1,0,threatmeter: Joomla Appointments For JomSocial 3.8.1 SQL Injection https://t.co/Z34BESmCm9,threatmeter joomla appointments for jomsocial 3.8.1 sql injection
-1,,836255383677190144,1,1,0,Joomla JomSocial SQL Injection https://t.co/rVgOLuHYej,joomla jomsocial sql injection
-1,,841942566186692609,0,0,1,Wordpress Themes Nunace Shell Upload Vulnerability | CSRF https://t.co/PSTBl26cIl,wordpress themes nunace shell upload vulnerability csrf
-1,,836859100235501569,0,0,1,Bugtraq: Cross-Site Request Forgery in File Manager WordPress plugin https://t.co/t1zLl0ZfXJ,bugtraq cross-site request forgery in file manager wordpress plugin
-1,,840537015225483264,1,1,0,Joomla com_product 2.2 SQL injection Vulnerability https://t.co/FhyQbgL6RB,joomla com product 2.2 sql injection vulnerability
1,ORG PRO O O VUL VUL ID,841979678994894850,0,0,1,Microsoft Windows Color Management information disclosure [CVE-2017-0061] https://t.co/2BFl9avR1u,microsoft windows color management information disclosure cve-2017-0061
-1,,839399784200949760,1,1,0,threatmeter: Mini CMS 1.1 SQL Injection https://t.co/EgGxWvhwYA,threatmeter mini cms 1.1 sql injection
-1,,842043160918401025,0,0,1,PCAUSA Rawether For Windows Local Privilege Escalation https://t.co/wngyaC7nmz #exploit,pcausa rawether for windows local privilege escalation exploit
-1,,842054850363961344,0,0,1,threatmeter: #0daytoday #ASUS PCE-AC56 WLAN Card Utilities (PCAUSA Rawether Windows 10 x64) - Local Privilege Es [… https://t.co/UjHkeMfgN0,threatmeter 0daytoday asus pce-ac56 wlan card utilities pcausa rawether windows 10 x64 local privilege es
-1,,838887668356349952,0,0,1,"@iams_roy Hi, there! You can stay up to date with our latest announcements on the Windows Blog here: https://t.co/JYhH4aqRvn.",iams roy hi there you can stay up to date with our latest announcements on the windows blog here
-1,,841921951576805378,1,1,0,Joomla com_carocci Component 'isbn' Parameter #Sql #Injection #Vulnerability https://t.co/IpCLf7P2LK #CXSECurity,joomla com carocci component isbn parameter sql injection vulnerability cxsecurity
-1,,839314446950543360,1,1,0,CVE-2016-9728 IBM Qradar 7.2 is vulnerable to SQL injection. A remote attacker could send specially-crafted SQL st… https://t.co/mBQZ2AjlyE,cve-2016-9728 ibm qradar 7.2 is vulnerable to sql injection a remote attacker could send specially-crafted sql st
-1,,841893755552714753,1,0,0,threatmeter: Borked browser baked into Nintendo Switch https://t.co/AQ6Blkr3h8,threatmeter borked browser baked into nintendo switch
-1,,836288536752054273,1,1,0,[DB] NextGEN Gallery &lt;= 2.1.77 - Unauthenticated SQL Injection https://t.co/lZOBRdyKfQ,db nextgen gallery lt 2.1.77 unauthenticated sql injection
-1,,841620503462830080,1,0,0,Nintendo Switch Hacked Less than Two Weeks After Launch via Old Browser Exploit https://t.co/4G7vIbWJkO,nintendo switch hacked less than two weeks after launch via old browser exploit
1,O O O PRO PRO O O O O O O O O O O,836217515130880000,1,1,0,Cyber extortionists hold MySQL databases for ransom: Ransomware has become cyber crooks’ favorite attack… https://t.co/QqCf88pZNI #infosec,cyber extortionists hold mysql databases for ransom ransomware has become cyber crooks favorite attack infosec
-1,,839906585686249472,1,1,1,"Flash ROMs with a Raspberry Pi - LinuxJournal: To hardware-flash a BIOS chip, you need two main pieces of hardw... https://t.co/Y74lKBuSI8",flash roms with a raspberry pi linuxjournal to hardware-flash a bios chip you need two main pieces of hardw
-1,,829778145452494848,0,0,1,@WordPressStan Thanks for sharing :),wordpressstan thanks for sharing
-1,,836705019693056000,0,0,1,"@nogribin Pretty cool, right? Have any other apps or features in Windows 10 caught your eye lately?",nogribin pretty cool right have any other apps or features in windows 10 caught your eye lately
-1,,839990740402941953,0,1,0,RT @sperrytopsider: The #Sperry7SEAS was designed with @AmericasCup Defenders @ORACLETEAMUSA and is available everywhere today. #OdysseysAw…,rt sperrytopsider the sperry7seas was designed with americascup defenders oracleteamusa and is available everywhere today odysseysaw
-1,,841432090654736384,0,0,1,@BinaryBombshell We'll host your site for you too.  If you have your own @WordPress installation (.org instead of .com) you'll need a host.,binarybombshell we ll host your site for you too if you have your own wordpress installation .org instead of .com you ll need a host.
1,ORG PRO O O PRO VER VUL VUL ID,841988487406604288,0,0,1,Microsoft Windows up to Server 2016 privilege escalation [CVE-2017-0102] https://t.co/OvQfwKLpY5,microsoft windows up to server 2016 privilege escalation cve-2017-0102
-1,,836245246606462976,0,0,1,@KR_Metus Hmm. Let's try the steps in this guide to fix sync issues in Chrome: https://t.co/F1iBBgVaSl. Does that help?,kr metus hmm let s try the steps in this guide to fix sync issues in chrome does that help
-1,,836971602914979840,0,0,1,Trust Form Plugin 2.0 on WordPress cross site scripting https://t.co/YemJ0TNicT,trust form plugin 2.0 on wordpress cross site scripting
-1,,839445985537425409,0,0,1,"WikiLeaks CIA 'Vault 7' Dump: Apple, Samsung, Google, WhatsApp, Telegram, Signal React https://t.co/IH0FyWbXhe",wikileaks cia vault 7 dump apple samsung google whatsapp telegram signal react
-1,,837017764355190784,0,0,1,Over 400 million devices are running Windows 10 in 192 countries. (That's nearly every country on the planet). #WindowsTrivia https://t.co/xWUVYLLTYJ,over 400 million devices are running windows 10 in 192 countries that s nearly every country on the planet windowstrivia
1,O O O O PRO PRO VER O ID,836707482714189824,0,1,0,threatmeter: F5 Networks BIG-IP : Apache Tomcat 6.x vulnerabilities (K30971148) https://t.co/vsx0xEcK74,threatmeter f5 networks big-ip apache tomcat 6.x vulnerabilities k30971148
1,PRO O O O ID,837011178392023042,0,1,0,openSUSE Security Update : gstreamer (openSUSE-2017-302) https://t.co/3XmVrY1WVh,opensuse security update gstreamer opensuse-2017-302
-1,,837057939357724673,1,0,0,NA - CVE-2016-8507 - Yandex Browser for iOS before 16.10.0.2357 does... https://t.co/9kyG4EJacv,na cve-2016-8507 yandex browser for ios before 16.10.0.2357 does
-1,,839913714526494721,1,0,0,#Fedora 24 : suricata (2017-f9f3a78148) https://t.co/fXqofFDD7Z #Nessus,fedora 24 suricata 2017-f9f3a78148 nessus
-1,,837069169258553344,0,0,1,"@WestonDOfficial How's your experience with Windows 10 going so far, Weston? We'd love to hear your thoughts.",westondofficial how s your experience with windows 10 going so far weston we d love to hear your thoughts.
-1,,839531529944477696,0,0,1,RT @AbirAbbas_: The future #SocialSelling Queens! 👑 #InternationalWomensDay in the office with the future girl bosses 💪 #OracleDigital http…,rt abirabbas the future socialselling queens internationalwomensday in the office with the future girl bosses oracledigital http
-1,,842084162093883393,0,0,1,U.S. Government Indicts Two Russian FSB Officers Over Yahoo Hack: U.S. Government Indicts Four Over 2014… https://t.co/9vrf2AT8fz #infosec,u.s government indicts two russian fsb officers over yahoo hack u.s government indicts four over 2014 infosec
-1,,841593671065751552,1,0,1,@Inventitech Hi Moritz. What happens when you try browsing those websites in Chrome? Are you seeing an error message? Let us know.,inventitech hi moritz what happens when you try browsing those websites in chrome are you seeing an error message let us know.
-1,,839506146582880256,0,0,1,Firefox 52 Is The Last Version of Firefox For Windows XP and Vista https://t.co/TEHcld33FD,firefox 52 is the last version of firefox for windows xp and vista
-1,,841374189785362437,0,0,1,LinkedIn Breach: Weak Passwords Are the Norm https://t.co/GFzmR1L8ns,linkedin breach weak passwords are the norm
-1,,836994123441786881,1,1,0,ZDI-17-128: Trend Micro SafeSync for Enterprise get_device_info SQL Injection Information Disclosure Vulnerability https://t.co/5vLRLzPQ1U,zdi-17-128 trend micro safesync for enterprise get device info sql injection information disclosure vulnerability
1,O O O PRO O O O O O ORG O O O,839941189562433541,0,1,1,Operation Rosehub patches Java vulnerabilities in open source projects: Google employees recently… https://t.co/NLVCPwHSEI #infosec,operation rosehub patches java vulnerabilities in open source projects google employees recently infosec
-1,,839894763390267394,1,1,0,#0daytoday #TradeMart 1.1 - SQL Injection Vulnerability  [webapps #exploits #Vulnerability #0day #Exploit] https://t.co/JNqVH84GGF,0daytoday trademart 1.1 sql injection vulnerability webapps exploits vulnerability 0day exploit
-1,,840540364184440832,1,1,0,threatmeter: #0daytoday #Travel Tours Script 2.0 - SQL Injection Vulnerability  [webapps #exploits #Vulnerability … https://t.co/yLCEaZkiwc,threatmeter 0daytoday travel tours script 2.0 sql injection vulnerability webapps exploits vulnerability
-1,,841804430148276226,0,1,1,threatmeter: IBM WebSphere Remote Code Execution Java Deserialization https://t.co/kNsUHUa3rz,threatmeter ibm websphere remote code execution java deserialization
1,O O PRO VER O O VUL O O VUL O O,836223170420015104,1,1,0,threatmeter: #0daytoday #Linux/x86_64 - Random Listener Shellcode (54 bytes)  [shellcode  #0day #Exploit] https://t.co/V3n6PqZqfk,threatmeter 0daytoday linux x86 64 random listener shellcode 54 bytes shellcode 0day exploit
-1,,837015010496950272,1,1,0,Kenno Media SQL Injection https://t.co/Lqio5F5Vte,kenno media sql injection
1,O PRO PRO ID VUL VUL VUL VUL,836972533173927937,1,1,0,Vuln: Linux Kernel CVE-2017-5577 Remote Buffer Overflow Vulnerability https://t.co/l9BI9bm60Y,vuln linux kernel cve-2017-5577 remote buffer overflow vulnerability
-1,,836972169502593024,0,0,1,threatmeter: VaultPress Plugin 1.8.4 on WordPress PHP Code Execution privilege escalation https://t.co/HlQBPVYUJr,threatmeter vaultpress plugin 1.8.4 on wordpress php code execution privilege escalation
-1,,839973837978603520,1,1,0,Schedules for #ApacheCon &amp; #ApacheBigData have been announced. Details in this blog via @LinuxDotCom: https://t.co/NGsdyffzL7 https://t.co/xxaUQG4oTa,schedules for apachecon amp apachebigdata have been announced details in this blog via linuxdotcom
-1,,838845553207312388,1,1,0,PHP Classifieds Rental Script 3.6.0 SQL Injection https://t.co/3FZFB8FZbc,php classifieds rental script 3.6.0 sql injection
-1,,840298750652293120,1,0,0,#Fedora 25 : drupal7-views (2017-82ce4661d6) https://t.co/6rdKgBu5xE #Nessus,fedora 25 drupal7-views 2017-82ce4661d6 nessus
-1,,839477338798702593,1,0,0,@4JeffBrown There should be an update available with the fix :),4jeffbrown there should be an update available with the fix
1,PRO VER VER PRO O O ID,839575954666242048,1,1,0,"Ubuntu 12.04 LTS : linux, linux-ti-omap4 vulnerability (USN-3218-1) https://t.co/ftrx6wAgu1",ubuntu 12.04 lts linux linux-ti-omap4 vulnerability usn-3218-1
-1,,841540311801319424,0,0,1,SAP is now hosting VMs in its cloud. Just don’t call it HANA: The PaaS plot is thickening with big data… https://t.co/PHRhEduaa0 #infosec,sap is now hosting vms in its cloud just don t call it hana the paas plot is thickening with big data infosec
-1,,839140960009334784,0,0,1,"threatmeter: Vault 7: CIA Can Bypass WhatsApp, Signal, Telegram Encryption https://t.co/INsTXJMmiZ",threatmeter vault 7 cia can bypass whatsapp signal telegram encryption
1,ORG PRO VER PRO VER O O O VUL VUL,841979653757775872,0,0,1,Microsoft Windows 10/Server 2016 Device Guard Bypass privilege escalation https://t.co/vRImHtpeA1,microsoft windows 10 server 2016 device guard bypass privilege escalation
-1,,839840837643153409,1,1,0,[webapps] - Media Search Engine Script - 'search' Parameter SQL Injection https://t.co/v1Dtr3ofkP,webapps media search engine script search parameter sql injection
-1,,836215732027392001,1,1,0,threatmeter: #0daytoday #Joomla Appointments for JomSocial 3.8.1 Component - SQL Injection Vulnerability [#0day #E… https://t.co/lsINl43U4T,threatmeter 0daytoday joomla appointments for jomsocial 3.8.1 component sql injection vulnerability 0day e
-1,,839934951042740225,0,0,1,threatmeter: Vuln: IBM Tivoli System Automation for Multiplatforms Local Privilege Escalation Vulnerability https://t.co/ZaIXxE2b6c,threatmeter vuln ibm tivoli system automation for multiplatforms local privilege escalation vulnerability
-1,,841429188431228928,0,0,1,@DamienERNST1 We're glad you like the Windows 10 Spotlight Images! Do you have a favorite one yet?,damienernst1 we re glad you like the windows 10 spotlight images do you have a favorite one yet
-1,,842155983853961216,1,0,0,#Fedora 25 : ettercap (2017-06365bdcfd) https://t.co/2kNKPixVmu #Nessus,fedora 25 ettercap 2017-06365bdcfd nessus
-1,,841154177984278528,1,1,0,Bugtraq: Joomla com_kide Component - 'view' Parameter Sql Injection Vulnerability https://t.co/SG1V60tC5H,bugtraq joomla com kide component view parameter sql injection vulnerability
-1,,836395532595544064,1,0,0,EulerOS 2.0 SP1 : bind #security update (EulerOS-SA-2016-1052) https://t.co/3LstuRH2io #Nessus,euleros 2.0 sp1 bind security update euleros-sa-2016-1052 nessus
-1,,839632162970304512,0,0,1,Ask Slashdot: Should You Use Password Managers? https://t.co/nZtZNc2U26,ask slashdot should you use password managers
1,PRO O O PRO PRO O O O O O O O O O,835039279948652544,0,0,1,"Chrome Users on Windows, Mac Being Targeted by 'Font Wasn't Found' Malware: Report https://t.co/qlVFX1dEfU",chrome users on windows mac being targeted by font wasn t found malware report
-1,,837056372063756288,0,0,1,How to Style Each #WordPress Post Differently - https://t.co/yMGHxi1dTT,how to style each wordpress post differently
1,O PRO PRO ID VUL VUL VUL VUL VUL VUL VUL VUL,839839257527201793,1,1,0,Vuln: Linux kernel CVE-2017-6346 Use After Free Local Denial of Service Vulnerability https://t.co/GgfElCMwTi,vuln linux kernel cve-2017-6346 use after free local denial of service vulnerability
-1,,841852289719590912,1,1,0,threatmeter: CVE-2017-3899 SQL injection vulnerability in Intel Security Advanced Threat Defense (ATD) Linux 3.6.0… https://t.co/9ZoTilUr3e,threatmeter cve-2017-3899 sql injection vulnerability in intel security advanced threat defense atd linux 3.6.0
1,O PRO PRO ID O VUL VUL VUL,839914817574027264,1,1,0,Vuln: Linux Kernel CVE-2017-5669 Local Security Bypass Vulnerability https://t.co/XjkG3Z1Cjm,vuln linux kernel cve-2017-5669 local security bypass vulnerability
1,O PRO PRO ID VUL VUL VUL VUL VUL,837000627276431364,1,1,0,Vuln: Linux Kernel CVE-2016-9806 Local Denial of Service Vulnerability https://t.co/ayTRPQ26gy,vuln linux kernel cve-2016-9806 local denial of service vulnerability
1,O ORG PRO O ID VUL VUL VUL,841817424244613120,0,0,1,Vuln: Microsoft Windows Hyper-V CVE-2017-0021 Memory Corruption Vulnerability https://t.co/TkFxHPqHNX,vuln microsoft windows hyper-v cve-2017-0021 memory corruption vulnerability
1,PRO VER VER VER VER VER O O ID,836704856039649280,1,0,0,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 : tiff vulnerabilities (USN-3212-1) https://t.co/ELe1HI9K3y,ubuntu 14.04 lts 16.04 lts 16.10 tiff vulnerabilities usn-3212-1
-1,,839893773672927233,1,1,0,threatmeter: Country On Sale SQL Injection https://t.co/yrMskmmrfb,threatmeter country on sale sql injection
1,O PRO PRO O O,840607080339918849,1,1,0,threatmeter: Apache Struts2 Gui exploit https://t.co/FNnRMXxu6s,threatmeter apache struts2 gui exploit
-1,,841375915678564352,0,0,1,@klausdwight Welcome to Windows! What are your first impressions so far?,klausdwight welcome to windows what are your first impressions so far
1,O PRO PRO ID VUL VUL VUL VUL,806214670805831681,1,1,0,Vuln: Linux Kernel CVE-2016-8655 Local Race Condition Vulnerability https://t.co/AAuaQGZR4D,vuln linux kernel cve-2016-8655 local race condition vulnerability
-1,,839755244447875073,0,0,1,Unlock Wordpress Admin Login Disable Protection  https://t.co/X2uAnnxRYI,unlock wordpress admin login disable protection
1,O ORG PRO O O VUL VUL VUL,829224605235736576,0,0,1,Vuln: Microsoft Windows VU#867968 Memory Corruption Vulnerability https://t.co/JjfIOXwfJu,vuln microsoft windows vu 867968 memory corruption vulnerability
-1,,839796140526698496,1,0,0,"Budget 2017: Broadband, AI &amp; Training, but Where’s Cybersecurity?: Chancellor Philip Hammond’s first… https://t.co/R5W5USSSWG #infosec",budget 2017 broadband ai amp training but where s cybersecurity chancellor philip hammond s first infosec
-1,,840264992947634177,0,0,1,"@FabianStolba Hi, Fabian. What's happening to make you say that? We want you to have a great experience with Windows 10.",fabianstolba hi fabian what s happening to make you say that we want you to have a great experience with windows 10.
-1,,841192346385547264,1,1,0,threatmeter: Global In SQL Injection https://t.co/ZfxU706qwK,threatmeter global in sql injection
-1,,836582169665503233,1,1,0,Vigilnce - Joomla com_blog_calendar: SQL injection https://t.co/tSCZ6Yrckq,vigilnce joomla com blog calendar sql injection
-1,,836354700828151808,0,0,1,@KevinWelge Thanks for the kind words! We're thrilled that we're able to help keep the peace. 😉,kevinwelge thanks for the kind words we re thrilled that we re able to help keep the peace
-1,,839169647693922305,0,0,1,"WordPress fixes XSS, CSRF flaws in latest core update https://t.co/HyS1kStmi2",wordpress fixes xss csrf flaws in latest core update
-1,,839675706007302144,1,1,1,"CVE-2017-1150 IBM DB2 for Linux, UNIX and Windows (includes DB2 Connect Server) 10.1, 10.5, and 11.1 could allow a… https://t.co/4VsOvMtZvV",cve-2017-1150 ibm db2 for linux unix and windows includes db2 connect server 10.1 10.5 and 11.1 could allow a
-1,,836551689566097409,0,0,1,@Hype_fox Hi there. Have you tried the steps in this article to repair Chrome if it freezes: https://t.co/k1c53GEoJD? Keep us posted.,hype fox hi there have you tried the steps in this article to repair chrome if it freezes keep us posted.
-1,,836705389907443712,0,1,0,Care About Big Data Analytics? Better Pay Attention To Splunk and Elastic Stack https://t.co/CxumHjUgbf,care about big data analytics better pay attention to splunk and elastic stack
-1,,804387494292811776,1,0,0,Vuln: Broadcom Wifi Driver 'brcmf_cfg80211_start_ap()' Function Stack Buffer Overflow Vulnerability https://t.co/HY8xGKh9jD,vuln broadcom wifi driver brcmf cfg80211 start ap function stack buffer overflow vulnerability
-1,,839892738367696896,0,0,1,WordPress Apptha Slider Gallery 1.0 Arbitrary File Download https://t.co/uSM2g05k4L,wordpress apptha slider gallery 1.0 arbitrary file download
1,O PRO PRO VER PRO O VUL VUL VUL,836178031651749889,1,1,0,threatmeter: Linux Kernel 4.4.0 (Ubuntu) - DCCP Double-Free Privilege Escalation https://t.co/oggSmQsB25,threatmeter linux kernel 4.4.0 ubuntu dccp double-free privilege escalation
1,O PRO PRO ID VUL VUL VUL VUL PRO PRO ID O O,839781431085776896,1,1,0,Vuln: Apache Struts CVE-2017-5638 Remote Code Execution Vulnerability: Apache Struts CVE-2017-5638 Remote… https://t.co/VpKgVEdUIz #infosec,vuln apache struts cve-2017-5638 remote code execution vulnerability apache struts cve-2017-5638 remote infosec
-1,,839969044224679936,0,0,1,@KelloggBrengel We love your enthusiasm! Make sure to keep an eye on the Windows Blog for all the latest news. https://t.co/ju2b5Astw6,kelloggbrengel we love your enthusiasm make sure to keep an eye on the windows blog for all the latest news.
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL O,841770950295138305,0,0,1,#Vuln: #Microsoft Internet Explorer and Edge CVE-2017-0037 #Remote Memory Corruption Vulnerability https://t.co/xLxQZCOiUY #bugtraq,vuln microsoft internet explorer and edge cve-2017-0037 remote memory corruption vulnerability bugtraq
-1,,839561321163157504,0,0,1,@takhsiru Wow - what a throwback to Windows 98. 😂 Are you currently running Windows 10 on your device?,takhsiru wow what a throwback to windows 98 are you currently running windows 10 on your device
-1,,838805861392867329,1,1,0,Naukri Clone Script 3.02 SQL Injection https://t.co/LCZH6Tx35r #exploit,naukri clone script 3.02 sql injection exploit
-1,,836589061611655168,0,0,1,Does Cyber Security Have An Operational Excellence Problem? @ayoran thinks so. #cybersecurity (via @ForbesTech) https://t.co/fcJ3cyJFZ7,does cyber security have an operational excellence problem ayoran thinks so cybersecurity via forbestech
-1,,836877616271540226,0,0,1,Bugtraq: Cross-Site Scripting in Magic Fields 1 WordPress Plugin https://t.co/DreGXlmQEH,bugtraq cross-site scripting in magic fields 1 wordpress plugin
-1,,842062589278453766,0,0,1,@HDERAZI96 We love your enthusiasm! Make sure to keep an eye on the Windows Blog for all the latest news. https://t.co/e69l0rrad9,hderazi96 we love your enthusiasm make sure to keep an eye on the windows blog for all the latest news.
-1,,839621890251624448,0,0,1,Google wants to turn every store into a Chrome-plated Android shop https://t.co/2dvXWQCE77,google wants to turn every store into a chrome-plated android shop
-1,,839859510328053760,0,0,1,@SarahAminNC Great. Our team will automatically receive a report if Chrome crashes again. Reach out if you have any questions.,sarahaminnc great our team will automatically receive a report if chrome crashes again reach out if you have any questions.
